COUNTY_NAME;ADDRESS;LONGITUDE;LATITUDE
ADALAR;AltInordu Cad. No: 7;29.1315489268862;40.8744636432511
Adalar;Büyükada Mah. Recep Koç cad No: 43-45;29,131383;40,874186
ADALAR;Büyükada RECEP KOÇ CAD. No:25;29,129939;40,87458
Adalar;Heybeliada Mah AyyIldIz Cad. No:32/1;29.097985;40.8773202
Adalar;HEYBELIADA MAH AYYILDIZ CAD. Prenset Pansiyon No:40;29.100705;40.876796
ADALAR;Heybeliada Mah. AyyIldIz Cad. No:49;29.0997214115446;40.8784133209924
Adalar;Heybeliada Mh. AyyIldIz Cad. No:15;29,100257;40.877176
ADALAR;Heybeliada RIhtIm Cd. No:1/B;29,101164;40,876861
ADALAR;KInalIada SAHILHANELER CD. No.4/A;29,055302;40,908413
Adalar;Maden Mah Ayayorgi Tepesi Mevki Sok.Büyükada No:1;29.1162786;40.8487749
Adalar;Nizam Mah. Halikamas Sok. No:3/1 Büyükada;29.1283227;40.8732439
ADALAR;şehit Recep Koç Cad şehit Recep Koç Cad No:36;29,129949;40,873069
Arnavutköy;ADNAN MENDERES MAH SAMANTEPE SOK. NO:2;28.704471;41.213163
Arnavutköy;Adnan Menderes Mah. Ceren Sok. No:17;28.704923;41.218131
ARNAVUTKÖY;ANADOLU MAH GÜLLÜBAHÇE SOKAK NO:1-5/1;28,75066;41,188274
ARNAVUTKÖY;ANADOLU MAH LOZAN SOK NO:24/A;28,748978;41,183821
ARNAVUTKÖY;ANADOLU MAH NECIP FAZIL CAD. NO.169/A-B-C;28.755982370;41.1861339
Arnavutköy;Anadolu Mah. Bilgili Sok. No:38;28.751020;41.190021
Arnavutköy;Anadolu Mah. Erberk Sok. No:9;28.755147;41.190508
ARNAVUTKÖY;Anadolu Mah. Gaziosmanpaşa Cad. No:8/A;28.74516574596588;41.18159706809772
ARNAVUTKÖY;Anadolu Mah. Hoca Ahmet Yesevi Cad. Haydar Apt. No:15;28.744383177806725;41.1852395754226
Arnavutköy;Anadolu Mah. Hoca Ahmet Yesevi Cad. No:173/B;28.755264;41.187072
ARNAVUTKÖY;Anadolu Mah. Hoca Ahmet Yesevi Cad. No:194;28.756851270558734;41.18643500898245
Arnavutköy;Anadolu Mah. Lozan Sok. No:24/A;28.74678;41.183826
ARNAVUTKÖY;Anadolu Mah. Necip FazIl Cad. No:125;28.751958075587897;41.18595315563936
ARNAVUTKÖY;Anadolu Mah. Nursema Cad. 1106 Sok.  No:1; 28.750771721733482;41.19330969796516
Arnavutköy;Anadolu Mah. Ocak Sok No:1-5A;28.755433540604216;41.1896317511236
ARNAVUTKÖY;Anadolu Mah. Sezgin Sok. No:1/3;28.74686622046094;41.186909615616
ARNAVUTKÖY;Anadolu Mah. Tamer Sok. 13-15 A/3;28.746807349230522;41.18334486954451
Arnavutköy;Anadolu Mah. YIldIrIm BeyazIt Cad. No:6/A;28.741342;41.184623
Arnavutköy;Anadolu Mah. YIldIrIm BeyazIt. Cad. 6/A;28.741342;41.184623
ARNAVUTKÖY;Anadolu Mahallesi Barende SokağI 13/20;28.74669370381564;41.1885487459477
ARNAVUTKÖY;ANADOLU MAHALLESI NECIIP FAZIL CADDESI NO:107/A;28,750293;41,185806
ARNAVUTKÖY;ANADOLU MAHALLESI ORTAKÖY SOKAK NO:1-3/A;28,742266;41,187816
ARNAVUTKÖY;ANADOLU MH MÜCEVHER SK NO26/2;29,069224;41,021575
ARNAVUTKÖY;ANADOLU MH. Necip FazIl Cd. No:41;28,745607;41,184238
ARNAVUTKÖY;ANADOLU MH. Samimi Sk. (232. Sk.) No:1;28,751676;41,18819
ARNAVUTKÖY;ANADOLU MH. YIldIrIm BeyazIt Caddesi 53;28,744226;41,190301
Arnavutköy;Ansdolu Mah. Mimar Sinan Cad. No:63/A-1;28,748611;41,187928
ARNAVUTKÖY;ARNAVUTKÖY ARNAVUTKÖY ARNAVUTKÖY;28,72102;41,191764
ARNAVUTKÖY;ARNAVUTKÖY ARNAVUTKÖY ARNAVUTKÖY;28,755445;41,195349
ARNAVUTKÖY;Arnavutköy Merkez Mah Düldül Sok No:11/A;28,739183;41,184557
Arnavutköy;Arnavutköy Merkez Mah. Eski Edirne AsfaltI Cad. No:1223/A;28.787158;41.153945
